,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
9,16,Margaret Walker,MARGARET WALKER,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
10,17,Kelly Wiese,KELLY WIESE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
11,19,Kayla Emrick,KAYLA EMRICK,0,0,2,2,1,9,9,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
12,22,Arthi Padmanabhan,ARTHI PADMANABHAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
13,23,Anna Williams,ANNA WILLIAMS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
14,24,Kristen Brenner,KRISTEN BRENNER,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
15,30,Jean HUANG,JEAN HUANG,0,0,0,0,1,4,4,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
16,31,Mary Vanduyne,MARY VANDUYNE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
17,33,Emily Lander,EMILY LANDER,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
18,40,Amelia Cuarenta,AMELIA CUARENTA,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
19,42,Elizabeth Gronert,ELIZABETH GRONERT,0,0,1,1,0,6,6,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
20,44,Hannah Frank,HANNAH FRANK,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
21,45,Becky Ledonne,BECKY LEDONNE,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
22,47,Stephanie Knell,STEPHANIE KNELL,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
23,55,Liz Kaloupek,LIZ KALOUPEK,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
24,77,Laurel Schmidt,LAUREL SCHMIDT,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
25,87,Emily Langland,EMILY LANGLAND,1,1,0,0,0,3,3,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d,Heist,13,9,Nightlock,8,11
