,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
5,9,Cassidy Rasmussen,Mid,,6.0,6.0,1.0,4.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,CASSIDY RASMUSSEN
6,13,Ian Sweeney,Handler,"6'3""",,7.0,1.0,4.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,IAN SWEENEY
7,14,Kenneth Justin Lim,Handler,"5'10""",2.0,3.0,,,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,KENNETH JUSTIN LIM
8,15,Michael Spear,Mid,"5'9""",4.0,2.0,1.0,4.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,MICHAEL SPEAR
9,16,Jake Thorne,,,2.0,,3.0,,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,JAKE THORNE
10,17,Sawyer Thompson,Defense (Cutter),"6'4""",2.0,3.0,2.0,,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,SAWYER THOMPSON
11,19,Hunter Corbett,,,6.0,7.0,2.0,1.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,HUNTER CORBETT
12,21,Caleb Merriam,Deep,"5'9""",1.0,2.0,,3.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,CALEB MERRIAM
13,22,Marcelo Sanchez,Deep,,2.0,,1.0,1.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,MARCELO SANCHEZ
14,23,Antoine Davis,Defense (Cutter),"6'2""",1.0,4.0,,,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,ANTOINE DAVIS
15,24,Elijah Kerns,Defense (Cutter),,6.0,20.0,,4.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,ELIJAH KERNS
16,25,Nick Stuart,,,4.0,2.0,4.0,1.0,/events/teams/?EventTeamId=gsaIZ1LjfQoUWQLO8o%2ffAESHaFwygFnckkPFxWDBdNU%3d,Revolver,3,NICK STUART
