,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
21,86,Samson Hoy,,,2.0,3.0,,3.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,SAMSON HOY
22,89,Kevin Underhill,Handler,"6'1""",5.0,10.0,1.0,5.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,KEVIN UNDERHILL
23,98,Brendan Wong,,,7.0,4.0,,3.0,/events/teams/?EventTeamId=vzpb%2fu1aVEX3V5noBFm2x9Tcdgjd6tO6afL2PKpKMvQ%3d,Furious George,13,BRENDAN WONG
0,2,Sean Keegan,,"5'11""",9.0,4.0,,3.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,SEAN KEEGAN
1,3,Benjamin Spielman,,,1.0,2.0,3.0,3.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,BENJAMIN SPIELMAN
2,5,Joshua Stevens-Stein,Dump,"5'9""",,,1.0,1.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,JOSHUA STEVENS-STEIN
3,6,Michael Brenner,Handler,,2.0,,,,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,MICHAEL BRENNER
4,7,Clark Cofer,Handler,"6'0""",1.0,,1.0,1.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,CLARK COFER
5,8,Harper Garvey,Deep,"5'10""",,7.0,1.0,5.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,HARPER GARVEY
6,9,Samuel Little,,,3.0,6.0,,3.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,SAMUEL LITTLE
7,10,Grant Lindsley,,,6.0,12.0,,6.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,GRANT LINDSLEY
8,12,Matthew Lemar,,,,,,,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,MATTHEW LEMAR
9,13,Evan Padget,,,,,,2.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,EVAN PADGET
10,15,Kevin Norton,,,2.0,,1.0,,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,KEVIN NORTON
11,17,Benjamin Katz,,,,3.0,1.0,2.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,BENJAMIN KATZ
12,18,Tyler Haskell,,,1.0,,,2.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,TYLER HASKELL
13,19,Isaac Saul,Handler,,,1.0,,1.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,ISAAC SAUL
14,21,Alex Thorne,,,3.0,2.0,,1.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,ALEX THORNE
15,23,Jimmy Mickle,,"6'3""",5.0,15.0,1.0,5.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,JIMMY MICKLE
16,27,Jack Hatchett,Dump,"6'0""",1.0,3.0,2.0,2.0,/events/teams/?EventTeamId=UfpFUO3irJYrH8eMmfnS3S8tpZA7tZvcjGAROSEEcek%3d,PoNY,2,JACK HATCHETT
