,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
18,40,Chip Chang,,"1'0""",2.0,5.0,,8.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,CHIP CHANG
19,44,Stacy Gaskill,,,3.0,1.0,1.0,3.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,STACY GASKILL
20,52,Claire Chastain,,,7.0,15.0,,18.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,CLAIRE CHASTAIN
21,55,Rachel Wilmoth,,,4.0,1.0,2.0,2.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,RACHEL WILMOTH
22,65,Megan Ives,Handler/Cutter,"5'6""",,,2.0,,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,MEGAN IVES
23,88,Veronica Eder,Handler,"5'10""",5.0,2.0,2.0,2.0,/events/teams/?EventTeamId=wCim5c27F2K2oYBwiX2MoR%2bFNHA64bEEeQrRa817DKc%3d,Molly Brown,2,VERONICA EDER
0,1,Laura Wehlitz,,,2.0,1.0,4.0,7.0,/events/teams/?EventTeamId=hs58Di7lJ6fyE%2bIwjOSfUhjW3N84og3B2l9P54lxAe8%3d,Wildfire,14,LAURA WEHLITZ
1,2,Jasmine Childress,Defense (Cutter),"5'8""",5.0,,5.0,4.0,/events/teams/?EventTeamId=hs58Di7lJ6fyE%2bIwjOSfUhjW3N84og3B2l9P54lxAe8%3d,Wildfire,14,JASMINE CHILDRESS
2,3,Emma Frankel,,,3.0,7.0,1.0,4.0,/events/teams/?EventTeamId=hs58Di7lJ6fyE%2bIwjOSfUhjW3N84og3B2l9P54lxAe8%3d,Wildfire,14,EMMA FRANKEL
3,4,Kristen Pojunis,Defense (Cutter),"5'7""",2.0,8.0,8.0,12.0,/events/teams/?EventTeamId=hs58Di7lJ6fyE%2bIwjOSfUhjW3N84og3B2l9P54lxAe8%3d,Wildfire,14,KRISTEN POJUNIS
